title,text
Britain accuses 8 of terror plot,"LONDON - British police charged eight terrorist suspects yesterday with conspiring to commit murder and use radioactive materials, toxic gases, chemicals or explosives to cause  fear or injury.   "
Israel kills 5 in strike at Hamas activist,"Islamic group   armed wing, the Izz el-Deen al-Qassam Brigades. Doctors said he suffered leg wounds. "
Zambrano Out Early; So Are Mets,"ENVER, Aug. 17 - Victor Zambrano came to the Mets with radical movement on his pitches, fixable flaws in his delivery and a curious sore spot lingering around his right elbow. "
"Dollar Stuck, CPI Offers Little Direction", TOKYO (Reuters) - The dollar moved in tight ranges on  Wednesday as most investors shrugged off lower-than-expected  U.S. inflation data and stuck to the view the U.S. Federal  Reserve would continue raising rates.
St. Louis Cardinals News,"Right-hander Matt Morris threw seven solid innings, but the Cardinals needed a bases-loaded walk to second baseman Tony Womack and a grand slam from new right fielder Larry Walker to key a six-run eighth inning for a  "
Greek sprinters arrive at IOC hearing,"ATHENS (Reuters) - Greek sprinters Costas Kenteris and Katerina Thanou have arrived at an Athens hotel for an International Olympic Committee (IOC) hearing into their missed doped tests, a saga that has shamed and angered the Olympic host  "
Flop in the ninth inning sinks Jays,BOSTON -- The Toronto Blue Jays have had worse hitting games this season against lesser pitchers than Pedro Martinez. 
Fresh Fighting Shatters Short-Lived Ceasefire Deal,"Renewed clashes in South Ossetia, which resulted in death of two Georgian soldiers, erupted late on August 17, several hours after the South Ossetian and Georgian officials agreed on ceasefire. As a result Tbilisi has already announced that it will not  "
Hamm hopes to get on a roll,"Paul Hamm takes another shot at history tonight, when he'll try to become the first American to win the Olympic men's all-around in gymnastics."
Karzai Promises Afghans Security for Election (Reuters),Reuters - Afghanistan's President Hamid Karzai promised Afghans greater security when they go to vote in the country's first ever democratic election during an independence day speech on Wednesday.
Google Lowers Its IPO Price Range,"SAN JOSE, Calif. - In a sign that Google Inc.'s initial public offering isn't as popular as expected, the company lowered its estimated price range to between   85 and   95 per share, down from the earlier prediction of   108 and   135 per share "
"Future Doctors, Crossing Borders",Students at the Mount Sinai School of Medicine learn that diet and culture shape health in East Harlem.
Oil Sets New Record   47 on Iraq Threat, LONDON (Reuters) - Oil prices surged to a new high of   47 a  barrel on Wednesday after a new threat by rebel militia against  Iraqi oil facilities and as the United States said inflation  had stayed in check despite rising energy costs.
Greek sprinters quit to end Games scandal,ATHENS (Reuters) - Greece   two top athletes have pulled out of the Athens Olympics and apologised to the Greek people for a scandal over missed dope tests that has tarnished the Games  39; return to their birthplace. 
Phelps Eyes Fourth Gold," ATHENS (Reuters) - A weary Michael Phelps targeted his  fourth Olympic gold medal in Athens, turning his attention on  Wednesday to the 200 meters individual medley and settling for  the second-fastest overall time in the heats."
Israel Kills 5 in Attempt to Assassinate Hamas Man, GAZA (Reuters) - A senior Hamas leader survived an Israeli  assassination attempt in the Gaza Strip Wednesday but at least  five other Palestinians were killed in the explosion that tore  through his home.
